periodo;ultimo_cierre;id;tipo_oc;n;beta;cambio_SL;trigger;SL_LP;Status;Monto Compra (lotes);Valor_actual
2022-01-10 14:00:00;3014,74;659;S;3055,769655172414;4,609451635012435;3086,327351724138;3117,1906252413796;1734,3551347376492;Abierta;0,1;0
2022-01-10 14:00:00;3014,74;660;S;3121,6644827586206;4,587729800000041;3152,8811275862067;3184,409938862069;1808,090998862057;Abierta;0,1;0
2022-01-10 15:00:00;3000,79;661;I;2997,11;4,627718395193198;;2997,11;1608,794481442041;Abierta;0,1;0
2022-01-10 16:00:00;3075,87;662;I;2997,11;4,626792061758318;;2997,11;1609,072381472505;Abierta;0,1;0
2022-01-12 13:00:00;3370,57;676;I;3297,162244897959;4,503823449500478;;3297,162244897959;1946,0152100478158;Abierta;0,1;0
2022-01-13 15:00:00;3300,27;681;I;3297,162244897959;4,496248219041914;;3297,162244897959;1948,2877791853853;Abierta;0,1;0
2022-01-13 16:00:00;3300,27;686;I;3297,162244897959;4,495927602895519;;3297,162244897959;1948,3839640293036;Abierta;0,1;0
2022-01-13 17:00:00;3282,04;688;I;3222,1491836734695;4,518277236309971;;3222,1491836734695;1866,6660127804782;Abierta;0,1;0
2022-01-14 00:00:00;3268,32;693;I;3222,1491836734695;4,515733662048932;;3222,1491836734695;1867,42908505879;Abierta;0,1;0
2022-01-14 10:00:00;3222,63;698;I;3222,1491836734695;4,512267288351657;;3222,1491836734695;1868,4689971679725;Abierta;0,1;0
2022-01-14 11:00:00;3200,53;703;S;3222,1491836734695;4,511871673935021;3254,3706755102044;3286,9143822653064;1933,3528800848;Abierta;0,1;0
2022-01-14 15:00:00;3278,18;711;S;3297,162244897959;4,488180587400027;3330,133867346939;3363,4352060204083;2016,9810298004002;Abierta;0,1;0
2022-01-15 15:00:00;3364,94;716;I;3297,162244897959;4,481703973875365;;3297,162244897959;1952,65105273535;Abierta;0,1;0
2022-01-16 02:00:00;3304,55;721;I;3297,162244897959;4,479085660532098;;3297,162244897959;1953,4365467383298;Abierta;0,1;0
2022-01-16 11:00:00;3313,95;726;I;3297,162244897959;4,476899206677805;;3297,162244897959;1954,092482894618;Abierta;0,1;0
2022-01-16 13:00:00;3343,22;731;I;3297,162244897959;4,476447705017042;;3297,162244897959;1954,2279333928468;Abierta;0,1;0
2022-01-17 03:00:00;3257,79;733;I;3222,1491836734695;4,4948566839897905;;3222,1491836734695;1873,6921784765325;Abierta;0,1;0
2022-01-17 16:00:00;3228,52;738;I;3222,1491836734695;4,491325116583758;;3222,1491836734695;1874,7516486983423;Abierta;0,1;0
2022-01-17 17:00:00;3206,25;744;I;3121,6644827586206;4,519601999139139;;3121,6644827586206;1765,783883016879;Abierta;0,1;0
2022-01-18 13:00:00;3139,1;749;I;3121,6644827586206;4,513116574136959;;3121,6644827586206;1767,7295105175328;Abierta;0,1;0
2022-01-18 14:00:00;3118,19;754;S;3121,6644827586206;4,5127527792980375;3152,8811275862067;3184,409938862069;1830,5841050726578;Abierta;0,1;0
2022-01-18 22:00:00;3177,77;759;I;3121,6644827586206;4,509969382350135;;3121,6644827586206;1768,6736680535803;Abierta;0,1;0
2022-01-19 03:00:00;3099,23;767;I;3055,769655172414;4,526588789390398;;3055,769655172414;1697,7930183552946;Abierta;0,1;0
2022-01-19 07:00:00;3058,77;772;I;3055,769655172414;4,52507633319975;;3055,769655172414;1698,246755212489;Abierta;0,1;0
2022-01-19 08:00:00;3063,56;777;I;3055,769655172414;4,524680140244334;;3055,769655172414;1698,3656130991135;Abierta;0,1;0
2022-01-19 10:00:00;3076,54;779;S;3121,6644827586206;4,50577930410406;3152,8811275862067;3184,409938862069;1832,676147630851;Abierta;0,1;0
2022-01-20 14:00:00;3219,27;784;I;3121,6644827586206;4,497121506640457;;3121,6644827586206;1772,5280307664837;Abierta;0,1;0
2022-01-20 21:00:00;3079,73;792;I;3055,769655172414;4,513102136219948;;3055,769655172414;1701,8390143064296;Abierta;0,1;0
2022-01-20 22:00:00;3056,21;796;I;2997,11;4,528496405878161;;2997,11;1638,5610782365518;Abierta;0,1;0
2022-01-20 22:00:00;3056,21;798;I;3055,769655172414;4,512751320088926;;3055,769655172414;1701,9442591457362;Abierta;0,1;0
2022-01-20 23:00:00;2997,48;801;I;2997,11;4,528088771565488;;2997,11;1638,6833685303538;Abierta;0,1;0
2022-01-21 00:00:00;3016,63;806;I;2997,11;4,527697779090638;;2997,11;1638,800666272809;Abierta;0,1;0
2022-01-21 01:00:00;2897,56;809;I;2892,56;4,555188387566902;;2892,56;1526,0034837299293;Abierta;0,1;0
2022-01-21 02:00:00;2904,83;817;I;2882,06;4,55748498503754;;2882,06;1514,8145044887378;Abierta;0,1;0
2022-01-21 03:00:00;2834,6;830;I;2808,74;4,576478384045872;;2808,74;1435,7964847862381;Abierta;0,1;0
2022-01-21 12:00:00;2773,66;834;I;2731,66;4,591710610502551;;2731,66;1354,1468168492347;Abierta;0,1;0
2022-01-21 20:00:00;2744,89;845;I;2731,66;4,586589838198164;;2731,66;1355,6830485405508;Abierta;0,1;0
2022-01-21 21:00:00;2608,73;863;I;2559,84;4,630520682735027;;2559,84;1170,6837951794919;Abierta;0,1;0
2022-01-21 22:00:00;2544,63;864;I;2501,2;4,644790938932076;;2501,2;1107,7627183203772;Abierta;0,1;0
2022-01-21 23:00:00;2566,54;872;I;2501,2;4,643829277663408;;2501,2;1108,0512167009774;Abierta;0,1;0
2022-01-23 15:00:00;2434,67;888;S;2456,007142857143;4,616809821421005;2480,5672142857147;2505,3728864285717;1120,3299400022702;Abierta;0,1;0
2022-01-23 15:00:00;2434,67;899;I;2300,86;4,653905523298888;;2300,86;904,6883430103339;Abierta;0,1;0
2022-01-23 23:00:00;2539,36;903;I;2388,241724137931;4,626064770029634;;2388,241724137931;1000,422293129041;Abierta;0,1;0
2022-01-23 23:00:00;2539,36;904;I;2456,007142857143;4,610097120638805;;2456,007142857143;1072,9780066655019;Abierta;0,1;0
